"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0AI20","2019-09-10 00:00:00","25.000","175.000","1.900","24.800","0.800","1004.700","-99.000","0.000","-99.000","-99.000","-99.000","29.900","","23.100",""
"C0G880","2019-09-10 00:00:00","92.000","164.000","0.900","27.600","0.830","998.600","-99.000","0.000","-99.000","-99.000","-99.000","32.600","","24.900",""
"C0R520","2019-09-10 00:00:00","18.000","63.000","1.000","27.600","0.880","1006.000","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","25.100",""
"C0R590","2019-09-10 00:00:00","72.000","357.000","1.700","26.700","0.990","1000.100","-99.000","0.000","-99.000","-99.000","-99.000","32.100","","24.500",""
"C0G820","2019-09-10 00:00:00","29.000","0.000","0.100","28.100","0.890","1004.100","-99.000","0.000","-99.000","-99.000","-99.000","33.700","","26.400",""
"C0U600","2019-09-10 00:00:00","10.000","289.000","0.300","25.400","0.940","1007.700","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.000",""
"C0U910","2019-09-10 00:00:00","17.000","287.000","0.600","26.300","0.860","1007.100","-99.000","0.000","-99.000","-99.000","-99.000","29.600","","22.900",""
"C0V630","2019-09-10 00:00:00","19.000","203.000","1.600","28.000","0.850","1008.200","-99.000","20.000","-99.000","-99.000","-99.000","32.000","","25.500",""
"C0D650","2019-09-10 00:00:00","97.000","0.000","0.200","27.800","0.800","997.100","-99.000","0.000","-99.000","-99.000","-99.000","31.100","","25.700",""
"C0K510","2019-09-10 00:00:00","10.000","153.000","0.800","28.300","0.840","1006.400","-99.000","0.000","-99.000","-99.000","-99.000","32.700","","26.400",""
"C0V360","2019-09-10 00:00:00","94.000","177.000","0.600","24.700","0.980","998.000","-99.000","8.500","-99.000","-99.000","-99.000","33.400","","22.900",""
"C0M780","2019-09-10 00:00:00","30.000","202.000","0.600","27.100","0.860","1005.300","-99.000","0.000","-99.000","-99.000","-99.000","33.300","","25.800",""
"C0G850","2019-09-10 00:00:00","62.000","172.000","2.000","29.000","0.840","1000.500","-99.000","0.000","-99.000","-99.000","-99.000","34.900","","27.600",""
"C0K530","2019-09-10 00:00:00","12.000","276.000","1.900","28.700","0.870","1006.900","-99.000","0.000","-99.000","-99.000","-99.000","31.000","","26.700",""
"C0V750","2019-09-10 00:00:00","50.000","0.000","0.000","28.300","1.000","1003.700","-99.000","0.000","-99.000","-99.000","-99.000","33.400","","25.900",""
"C0M830","2019-09-10 00:00:00","540.000","0.000","0.000","23.900","0.990","950.300","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","19.700",""
"C0T790","2019-09-10 00:00:00","2830.000","323.000","0.500","9.700","0.960","727.800","-99.000","0.000","-99.000","-99.000","-99.000","17.700","","7.100",""
"C0S730","2019-09-10 00:00:00","110.000","66.000","2.500","25.600","0.950","997.000","-99.000","0.000","-99.000","-99.000","-99.000","28.600","","24.700",""
"C0F0D0","2019-09-10 00:00:00","3171.000","133.000","0.300","8.300","0.770","698.400","-99.000","0.000","-99.000","-99.000","-99.000","13.800","","5.300",""
"C0F9X0","2019-09-10 00:00:00","166.000","0.000","0.100","28.000","0.830","990.000","-99.000","0.000","-99.000","-99.000","-99.000","31.500","","26.000",""
"C0F9Q0","2019-09-10 00:00:00","149.000","131.000","1.100","26.700","0.920","990.400","-99.000","0.000","-99.000","-99.000","-99.000","32.300","","24.000",""
"C0E780","2019-09-10 00:00:00","160.000","171.000","0.500","26.200","0.890","989.900","-99.000","0.000","-99.000","-99.000","-99.000","33.000","","23.600",""
"C0SA80","2019-09-10 00:00:00","136.000","281.000","0.400","24.100","0.980","994.100","-99.000","0.000","-99.000","-99.000","-99.000","28.800","","22.800",""
"C0T960","2019-09-10 00:00:00","120.000","154.000","0.300","23.700","0.990","996.500","-99.000","0.500","-99.000","-99.000","-99.000","33.000","","22.200",""
"C0UA50","2019-09-10 00:00:00","808.000","147.000","2.100","21.400","0.990","921.100","-99.000","0.000","-99.000","-99.000","-99.000","29.100","","19.100",""
"C0U860","2019-09-10 00:00:00","5.000","0.000","0.000","26.700","0.840","1008.400","-99.000","0.000","-99.000","-99.000","-99.000","30.900","","22.600",""
"C0F0C0","2019-09-10 00:00:00","983.000","0.000","0.000","22.200","0.870","901.800","-99.000","0.000","-99.000","-99.000","-99.000","25.500","","18.000",""
"C0D480","2019-09-10 00:00:00","223.000","0.000","0.000","23.900","0.930","982.200","-99.000","0.000","-99.000","-99.000","-99.000","32.200","","20.900",""
"C0K291","2019-09-10 00:00:00","8.000","257.000","2.400","29.300","0.840","1007.700","-99.000","0.000","-99.000","-99.000","-99.000","31.800","","26.600",""
"C0X170","2019-09-10 00:00:00","50.000","89.000","0.700","26.300","0.940","1002.200","-99.000","47.500","-99.000","-99.000","-99.000","33.600","","25.000",""
"C0AH30","2019-09-10 00:00:00","755.000","168.000","6.700","21.400","0.980","924.600","-99.000","0.000","-99.000","-99.000","-99.000","24.100","","20.700",""
"C0R130","2019-09-10 00:00:00","1040.000","107.000","0.600","21.100","0.810","894.600","-99.000","0.000","-99.000","-99.000","-99.000","24.500","","18.900",""
"C0M790","2019-09-10 00:00:00","15.000","208.000","0.400","27.400","0.830","1005.500","-99.000","0.000","-99.000","-99.000","-99.000","33.800","","26.400",""
"C0E530","2019-09-10 00:00:00","341.000","262.000","1.000","25.000","0.910","969.900","-99.000","0.000","-99.000","-99.000","-99.000","30.400","","21.900",""
"C0I520","2019-09-10 00:00:00","3860.000","-99.000","-99.000","7.200","0.180","642.500","-99.000","-99.000","-99.000","-99.000","-99.000","10.200","","4.500",""
